userid_A,userid_B,liked,
422,420,FALSE,
43,55,TRUE,
26,24,FALSE,
31,35,FALSE,
9,23,FALSE,
56,60,TRUE,
8,24,FALSE,
40,42,FALSE,
8,2,FALSE,
72,65,TRUE,
70,71,FALSE,
81,79,FALSE,
20,27,FALSE,
34,22,TRUE,
87,85,FALSE,
103,99,TRUE,
96,93,FALSE,
74,80,TRUE,
113,97,FALSE,
20,30,FALSE,
78,77,TRUE,
4,9,FALSE,
2,21,FALSE,
104,105,TRUE,
99,111,TRUE,
83,92,TRUE,
43,47,FALSE,
76,75,TRUE,
62,64,FALSE,
17,6,FALSE,
74,84,FALSE,
95,92,TRUE,
12,7,TRUE,
30,25,TRUE,
67,78,TRUE,
40,31,FALSE,
53,47,FALSE,
79,87,FALSE,
39,33,TRUE,
105,109,FALSE,
55,53,TRUE,
72,75,TRUE,
65,57,TRUE,
94,90,TRUE,
80,74,FALSE,
77,65,TRUE,
82,90,FALSE,
59,47,FALSE,
86,95,TRUE,
64,59,TRUE,
14,21,TRUE,
36,32,TRUE,
14,27,FALSE,
70,65,TRUE,
92,105,TRUE,
40,30,FALSE,
72,73,TRUE,
85,93,TRUE,
26,21,TRUE,
64,72,FALSE,
46,56,TRUE,
106,108,FALSE,
59,56,TRUE,
12,22,TRUE,
74,65,TRUE,
25,20,TRUE,
72,81,FALSE,
40,35,FALSE,
19,26,TRUE,
30,33,TRUE,
81,73,TRUE,
98,99,TRUE,
46,56,FALSE,
25,17,TRUE,
39,25,FALSE,
23,9,TRUE,
72,85,FALSE,
75,81,TRUE,
35,37,TRUE,
93,83,TRUE,
42,39,TRUE,
47,57,TRUE,
34,26,FALSE,
103,113,TRUE,
61,53,FALSE,
42,33,TRUE,
75,65,TRUE,
7,20,TRUE,
41,59,FALSE,
103,90,FALSE,
91,110,TRUE,
81,79,TRUE,
85,82,TRUE,
38,39,FALSE,
16,26,TRUE,
116,109,TRUE,
47,44,TRUE,
72,82,FALSE,
64,52,TRUE,
112,104,TRUE,
86,72,FALSE,
50,69,TRUE,
41,34,FALSE,
37,26,FALSE,
36,30,TRUE,
42,45,TRUE,
117,105,FALSE,
39,34,TRUE,
33,39,FALSE,
75,66,TRUE,
89,74,FALSE,
2,19,FALSE,
34,32,FALSE,
25,14,TRUE,
82,87,FALSE,
78,71,TRUE,
22,17,TRUE,
52,36,TRUE,
31,37,FALSE,
79,88,TRUE,
67,71,FALSE,
46,66,FALSE,
112,104,FALSE,
43,46,TRUE,
42,43,TRUE,
37,41,FALSE,
115,100,TRUE,
49,65,FALSE,
93,91,FALSE,
32,16,TRUE,
105,88,FALSE,
80,64,FALSE,
49,46,TRUE,
102,106,FALSE,
13,27,FALSE,
58,52,FALSE,
48,39,FALSE,
77,78,FALSE,
26,18,FALSE,
17,16,TRUE,
98,97,FALSE,
79,87,FALSE,
51,48,FALSE,
23,22,TRUE,
20,33,TRUE,
19,36,TRUE,
56,49,TRUE,
51,36,FALSE,
58,54,TRUE,
18,12,TRUE,
55,59,FALSE,
95,96,FALSE,
90,94,FALSE,
103,91,TRUE,
